,song,contains_similar,similar_word_counts
0,Ahe's My Kind Of Girl,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 7, 'my': 5, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
1,"Andante, Andante",True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 28, 'my': 4, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 1}"
2,As Good As New,True,"{'dream': 0, 'life': 2, 'dreams': 0, 'loves': 0, 'me': 1, 'my': 10, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
3,Bang,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 0, 'my': 1, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
4,Bang-A-Boomerang,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 0, 'my': 1, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
5,Burning My Bridges,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 3, 'my': 4, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
6,Cassandra,True,"{'dream': 0, 'life': 0, 'dreams': 3, 'loves': 0, 'me': 0, 'my': 0, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
7,Chiquitita,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 1, 'me': 5, 'my': 0, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
8,Crazy World,True,"{'dream': 0, 'life': 1, 'dreams': 0, 'loves': 0, 'me': 9, 'my': 12, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
9,Crying Over You,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 4, 'my': 0, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
10,Dance,True,"{'dream': 2, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 7, 'my': 1, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
11,Dancing Queen,True,"{'dream': 0, 'life': 3, 'dreams': 0, 'loves': 0, 'me': 0, 'my': 0, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
12,Disillusion,True,"{'dream': 0, 'life': 1, 'dreams': 1, 'loves': 0, 'me': 2, 'my': 5, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
13,Does Your Mother Know,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 2, 'my': 0, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
14,Dream World,True,"{'dream': 0, 'life': 0, 'dreams': 0, 'loves': 0, 'me': 5, 'my': 1, 'mind': 0, 'loving': 0, 'wonder': 0, 'soul': 0}"
