,song,contains_similar,similar_word_counts
0,Ahe's My Kind Of Girl,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
1,"Andante, Andante",False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
2,As Good As New,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
3,Bang,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
4,Bang-A-Boomerang,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
5,Burning My Bridges,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
6,Cassandra,True,"{'hatred': 0, 'shame': 1, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
7,Chiquitita,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
8,Crazy World,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
9,Crying Over You,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
10,Dance,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
11,Dancing Queen,True,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 1, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 1, 'fear': 0, '?': 0}"
12,Disillusion,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0}"
