,song,contains_similar,similar_word_counts
0,Ahe's My Kind Of Girl,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
1,"Andante, Andante",False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
2,As Good As New,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
3,Bang,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
4,Bang-A-Boomerang,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
5,Burning My Bridges,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
6,Cassandra,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
7,Chiquitita,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
8,Crazy World,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
9,Crying Over You,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
10,Dance,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
11,Dancing Queen,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
12,Disillusion,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
13,Does Your Mother Know,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
14,Dream World,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
15,Dum Dum Diddle,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
16,Eagle,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
17,Every Good Man,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
18,Fernando,False,"{'democratic': 0, 'opposition': 0, 'parties': 0, 'coalition': 0, 'leader': 0, 'election': 0, 'candidate': 0, 'elections': 0, 'socialist': 0, 'liberal': 0}"
