,song,contains_similar,similar_word_counts
0,Addiction,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
1,All That's Mine,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
2,And Then...,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
3,Any Second Now,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
4,Barrel Of A Gun,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
5,Behind The Wheel,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
6,Better Days (Basteroid 'Dance Is Gone' Vocal Mix),False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
7,Black Celebration,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
8,Clean,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
9,Condemnation,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
10,Damaged People,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
11,Death's Door,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
12,Dreaming Of Me,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
13,Everything Counts,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
14,Fly On The Windscreen,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
15,Fools,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
16,Fragile Tension,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
17,Freelove,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
18,Freestate,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
19,Happiest Girl,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
20,Heaven,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
21,Higher Love,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
22,Home,False,"{'hatred': 0, 'shame': 0, 'racist': 0, 'anyone': 0, 'bigotry': 0, 'racism': 0, 'afraid': 0, 'anybody': 0, 'fear': 0, '?': 0, 'hate': 0}"
